,r,S1,S2,S3,S1_int,S2_int,S3_int
48,-0.2,0.9877062801803496,0.9881445111190901,0.9848830541901897,8355.838429012405,8251.603236053097,8384.001357539999
49,-0.1,0.996859367014213,0.9969754814233597,0.9961188897435409,8355.838429012405,8251.603236053097,8384.001357539999
50,0.0,1.0,1.0,1.0,8355.838429012405,8251.603236053097,8384.001357539999
51,0.1,0.996859367014213,0.9969754814233597,0.9961188897435409,8355.838429012405,8251.603236053097,8384.001357539999
52,0.2,0.9877062801803496,0.9881445111190901,0.9848830541901897,8355.838429012405,8251.603236053097,8384.001357539999
53,0.3,0.9729632665466488,0.9738858115266373,0.9669348856041239,8355.838429012405,8251.603236053097,8384.001357539999
54,0.4,0.9530743806010148,0.9545967615120236,0.9429500866637007,8355.838429012405,8251.603236053097,8384.001357539999
55,0.5,0.928500229896945,0.9306918106031488,0.9136279928651594,8355.838429012405,8251.603236053097,8384.001357539999
56,0.6,0.899713334475924,0.9026006723984114,0.8796825850677881,8355.838429012405,8251.603236053097,8384.001357539999
57,0.7,0.8671938246598268,0.8707663014013268,0.8418341980142416,8355.838429012405,8251.603236053097,8384.001357539999
58,0.8,0.8314254765599931,0.8356426526736566,0.8008019239926605,8355.838429012405,8251.603236053097,8384.001357539999
59,0.9,0.7928920853029299,0.7976922243070006,0.7572967116405546,8355.838429012405,8251.603236053097,8384.001357539999
60,1.0,0.7520741759726937,0.7573833827129068,0.7120151598905013,8355.838429012405,8251.603236053097,8384.001357539999
61,1.1,0.709447311334056,0.7151904459645311,0.6656261671332413,8355.838429012405,8251.603236053097,8384.001357539999
62,1.2,0.6654872849644211,0.6716060924009815,0.6187217387132855,8355.838429012405,8251.603236053097,8384.001357539999
63,1.3,0.6206677295710029,0.6271290258563397,0.5718262519781487,8355.838429012405,8251.603236053097,8384.001357539999
64,1.4,0.5754546566790036,0.5822472691213474,0.5254225144223686,8355.838429012405,8251.603236053097,8384.001357539999
